employee_id,user_id,name,gender,blood_group,marital_status,national_id,tin_number,phone_number,personal_email,work_email,present_address,permanent_address,university,degree,cgpa,dept_id,job_id,job_title,job_level,work_mode,joining_date,status,exit_date,exit_reason,current_salary,manager_id,dob
1,User_1,Nayeem Akond,Male,A-,Married,19875640909676,811466221348,8801664028609,nayeem.akond92@gmail.com,nayeem.akond1@banglabazaar.com,"House 70, Road 8, Mirpur, Dhaka","Village: Akondpur, District: Chittagong",East West University,MBA,3.09,6,602,Senior Technician,2,On-Site,2018-03-29,Active,,,35628,1268.0,1987-04-16
2,User_2,Karim Patwary,Male,A+,Married,19937762841404,543653534675,8801926769574,karim.patwary63@gmail.com,karim.patwary2@banglabazaar.com,"House 93, Road 6, Rampura, Dhaka","Village: Patwarypur, District: Mymensingh",BUET,B.Sc in EEE,2.52,3,303,Quality Control Engineer,2,On-Site,2023-09-29,Active,,,50196,250.0,1996-07-20
3,User_3,Ahmed Akond,Male,B+,Married,19943441793837,405146922998,8801324927113,ahmed.akond26@gmail.com,ahmed.akond3@banglabazaar.com,"House 96, Road 23, Mohammadpur, Dhaka","Village: Akondpur, District: Comilla",BRAC University,MSc in CSE,3.51,3,304,Production Supervisor,3,On-Site,2015-12-08,Active,,,85802,,1979-11-18
4,User_4,Sajid Alam,Male,A+,Single,19806840451450,247463329968,8801748046032,sajid.alam73@gmail.com,sajid.alam4@banglabazaar.com,"House 126, Road 8, Mirpur, Dhaka","Village: Alampur, District: Chittagong",East West University,BSc in CSE,2.54,1,101,IT Support Specialist,1,Hybrid,2020-01-24,Active,,,33434,,1995-09-25
5,User_5,Sadia Bhuiyan,Female,B+,Married,19943989300531,713039749491,8801358935581,sadia.bhuiyan76@gmail.com,sadia.bhuiyan5@banglabazaar.com,"House 4, Road 1, Gulshan, Dhaka","Village: Bhuiyanpur, District: Chittagong",BRAC University,M.Com,3.66,1,104,Engineering Manager,4,Hybrid,2018-07-18,Active,,,206330,,1980-12-16
6,User_6,Arif Dewan,Male,O+,Married,19832396080936,149252919250,8801528144515,arif.dewan37@gmail.com,arif.dewan6@banglabazaar.com,"House 103, Road 23, Banani, Dhaka","Village: Dewanpur, District: Tangail",IUB,MBA,3.96,4,401,Sales Associate,1,Hybrid,2021-06-30,Active,,,24494,,1995-04-05
7,User_7,Nannu Ali,Male,B+,Married,20014395385201,566922436537,8801682551821,nannu.ali53@gmail.com,nannu.ali7@banglabazaar.com,"House 81, Road 27, Malibagh, Dhaka","Village: Alipur, District: Sylhet",Chittagong University,BSS in Economics,2.67,5,501,Admin Assistant,1,Hybrid,2021-12-03,Active,,,25899,,1999-08-27
8,User_8,Sabbir Alam,Male,A+,Divorced,19843715613406,490424213807,8801573953564,sabbir.alam62@gmail.com,sabbir.alam8@banglabazaar.com,"House 97, Road 10, Gulshan, Dhaka","Village: Alampur, District: Faridpur",IUB,BSc in CSE,3.36,6,601,Support Staff,1,On-Site,2017-04-19,Active,,,17567,,1992-11-21
9,User_9,Ayesha Biswas,Female,A+,Married,19826513705901,202194078036,8801840538822,ayesha.biswas31@gmail.com,ayesha.biswas9@banglabazaar.com,"House 94, Road 22, Dhanmondi, Dhaka","Village: Biswaspur, District: Comilla",IUB,MSc in CSE,3.06,5,501,Admin Assistant,1,Hybrid,2020-11-19,Resigned,2023-02-04,Personal Issue,28450,,1996-03-07
10,User_10,Zahid Hossain,Male,A-,Married,19894100854751,546354371379,8801593807205,zahid.hossain38@gmail.com,zahid.hossain10@banglabazaar.com,"House 140, Road 4, Mohammadpur, Dhaka","Village: Hossainpur, District: Rangpur",Rajshahi University,MBA,2.64,2,201,Warehouse Associate,1,Hybrid,2020-03-15,Active,,,20553,,1994-05-27
